"","treat","age","educ","race","married","nodegree","re74","re75","re78","black","hispan"
"NSW48",1,17,9,"black",0,1,0,0,0,1,0
"NSW49",1,25,5,"black",0,1,0,0,12187.41,1,0
"NSW50",1,23,12,"black",0,0,0,0,4843.176,1,0
"NSW51",1,28,8,"black",0,1,0,0,0,1,0
"NSW52",1,31,11,"black",1,1,0,0,8087.487,1,0
"NSW53",1,18,11,"black",0,1,0,0,0,1,0
"NSW54",1,25,12,"black",0,0,0,0,2348.973,1,0
"NSW55",1,30,11,"black",1,1,0,0,590.7818,1,0
"NSW56",1,17,10,"black",0,1,0,0,0,1,0
"NSW57",1,37,9,"black",0,1,0,0,1067.506,1,0
"NSW58",1,41,4,"black",1,1,0,0,7284.986,1,0
"NSW59",1,42,14,"black",1,0,0,0,13167.52,1,0
"NSW60",1,22,11,"white",0,1,0,0,1048.432,0,0
"NSW61",1,17,8,"black",0,1,0,0,0,1,0
"NSW62",1,29,8,"black",0,1,0,0,1923.938,1,0
"NSW63",1,35,10,"black",0,1,0,0,4666.236,1,0
"NSW64",1,27,11,"black",0,1,0,0,549.2984,1,0
"NSW65",1,29,4,"black",0,1,0,0,762.9146,1,0
"NSW66",1,28,9,"black",0,1,0,0,10694.29,1,0
"NSW67",1,27,11,"black",0,1,0,0,0,1,0
"NSW68",1,23,7,"white",0,1,0,0,0,0,0
"NSW69",1,45,5,"black",1,1,0,0,8546.715,1,0
"NSW70",1,29,13,"black",0,0,0,0,7479.656,1,0
"NSW71",1,27,9,"black",0,1,0,0,0,1,0
"NSW72",1,46,13,"black",0,0,0,0,647.2046,1,0
"NSW73",1,18,6,"black",0,1,0,0,0,1,0
"NSW74",1,25,12,"black",0,0,0,0,11965.81,1,0
"NSW75",1,28,15,"black",0,0,0,0,9598.541,1,0
"NSW76",1,25,11,"white",0,1,0,0,18783.35,0,0
"NSW77",1,22,12,"black",0,0,0,0,18678.08,1,0
"NSW78",1,21,9,"black",0,1,0,0,0,1,0
"NSW79",1,40,11,"black",0,1,0,0,23005.6,1,0
"NSW80",1,22,11,"black",0,1,0,0,6456.697,1,0
"NSW81",1,25,12,"black",0,0,0,0,0,1,0
"NSW82",1,18,12,"black",0,0,0,0,2321.107,1,0
"NSW83",1,38,12,"white",0,0,0,0,4941.849,0,0
"NSW84",1,27,13,"black",0,0,0,0,0,1,0
"NSW85",1,27,8,"black",0,1,0,0,0,1,0
"NSW86",1,38,11,"black",0,1,0,0,0,1,0
"NSW87",1,23,8,"hispan",0,1,0,0,3881.284,0,1
"NSW88",1,26,11,"black",0,1,0,0,17230.96,1,0
"NSW89",1,21,12,"white",0,0,0,0,8048.603,0,0
"NSW90",1,25,8,"black",0,1,0,0,0,1,0
"NSW91",1,31,11,"black",1,1,0,0,14509.93,1,0
"NSW92",1,17,10,"black",0,1,0,0,0,1,0
"NSW93",1,25,11,"black",0,1,0,0,0,1,0
"NSW94",1,21,12,"black",0,0,0,0,9983.784,1,0
"NSW95",1,44,11,"black",0,1,0,0,0,1,0
"NSW96",1,25,12,"white",0,0,0,0,5587.503,0,0
"NSW97",1,18,9,"black",0,1,0,0,4482.845,1,0
"NSW98",1,42,12,"black",0,0,0,0,2456.153,1,0
"NSW99",1,25,10,"black",0,1,0,0,0,1,0
"NSW100",1,31,9,"hispan",0,1,0,0,26817.6,0,1
"NSW101",1,24,10,"black",0,1,0,0,0,1,0
"NSW102",1,26,10,"black",0,1,0,0,9265.788,1,0
"NSW103",1,25,11,"black",0,1,0,0,485.2298,1,0
"NSW104",1,18,11,"black",0,1,0,0,4814.627,1,0
"NSW105",1,19,11,"black",0,1,0,0,7458.105,1,0
"NSW106",1,43,9,"black",0,1,0,0,0,1,0
"NSW107",1,27,13,"black",0,0,0,0,34099.28,1,0
"NSW108",1,17,9,"black",0,1,0,0,1953.268,1,0
"NSW109",1,30,11,"black",0,1,0,0,0,1,0
"NSW110",1,26,10,"black",1,1,2027.999,0,0,1,0
"NSW111",1,20,9,"black",0,1,6083.994,0,8881.665,1,0
"NSW112",1,17,9,"hispan",0,1,445.1704,74.34345,6210.67,0,1
"NSW113",1,20,12,"black",0,0,989.2678,165.2077,0,1,0
"NSW114",1,18,11,"black",0,1,858.2543,214.5636,929.8839,1,0
"NSW115",1,27,12,"black",1,0,3670.872,334.0493,0,1,0
"NSW116",1,21,12,"white",0,0,3670.872,334.0494,12558.02,0,0
"NSW117",1,27,12,"black",0,0,2143.413,357.9499,22163.25,1,0
"NSW118",1,20,12,"black",0,0,0,377.5686,1652.637,1,0
"NSW119",1,19,10,"black",0,1,0,385.2741,8124.715,1,0
"NSW120",1,23,12,"black",0,0,5506.308,501.0741,671.3318,1,0
"NSW121",1,29,14,"black",0,0,0,679.6734,17814.98,1,0
"NSW122",1,18,10,"black",0,1,0,798.9079,9737.154,1,0
"NSW123",1,19,9,"black",0,1,0,798.9079,17685.18,1,0
"NSW124",1,27,13,"white",1,0,9381.566,853.7225,0,0,0
"NSW125",1,18,11,"white",0,1,3678.231,919.5579,4321.705,0,0
"NSW126",1,27,9,"black",1,1,0,934.4454,1773.423,1,0
"NSW127",1,22,12,"black",0,0,5605.852,936.1773,0,1,0
"NSW128",1,23,10,"black",1,1,0,936.4386,11233.26,1,0
"NSW129",1,23,12,"hispan",0,0,9385.74,1117.439,559.4432,0,1
"NSW130",1,20,11,"black",0,1,3637.498,1220.836,1085.44,1,0
"NSW131",1,17,9,"black",0,1,1716.509,1253.439,5445.2,1,0
"NSW132",1,28,11,"black",0,1,0,1284.079,60307.93,1,0
"NSW133",1,26,11,"black",1,1,0,1392.853,1460.36,1,0
"NSW134",1,20,11,"black",0,1,16318.62,1484.994,6943.342,1,0
"NSW135",1,24,11,"black",1,1,824.3886,1666.113,4032.708,1,0
"NSW136",1,31,9,"black",0,1,0,1698.607,10363.27,1,0
"NSW137",1,23,8,"white",1,1,0,1713.15,4232.309,0,0
"NSW138",1,18,10,"black",0,1,2143.411,1784.274,11141.39,1,0
"NSW139",1,29,12,"black",0,0,10881.94,1817.284,0,1,0
"NSW140",1,26,11,"white",0,1,0,2226.266,13385.86,0,0
"NSW141",1,24,9,"black",0,1,9154.7,2288.675,4849.559,1,0
"NSW142",1,25,12,"black",0,0,14426.79,2409.274,0,1,0
"NSW143",1,24,10,"black",0,1,4250.402,2421.947,1660.508,1,0
"NSW144",1,46,8,"black",0,1,3165.658,2594.723,0,1,0
"NSW145",1,31,12,"white",0,0,0,2611.218,2484.549,0,0
"NSW146",1,19,11,"black",0,1,2305.026,2615.276,4146.603,1,0
"NSW147",1,19,8,"black",0,1,0,2657.057,9970.681,1,0
"NSW148",1,27,11,"black",0,1,2206.94,2666.274,0,1,0
"NSW149",1,26,11,"black",1,1,0,2754.646,26372.28,1,0
"NSW150",1,20,10,"black",0,1,5005.731,2777.355,5615.189,1,0
"NSW151",1,28,10,"black",0,1,0,2836.506,3196.571,1,0
"NSW152",1,24,12,"black",0,0,13765.75,2842.764,6167.681,1,0
"NSW153",1,19,8,"black",0,1,2636.353,2937.264,7535.942,1,0
"NSW154",1,23,12,"black",0,0,6269.341,3039.96,8484.239,1,0
"NSW155",1,42,9,"black",1,1,0,3058.531,1294.409,1,0
"NSW156",1,25,13,"black",0,0,12362.93,3090.732,0,1,0
"NSW157",1,18,9,"black",0,1,0,3287.375,5010.342,1,0
"NSW158",1,21,12,"black",0,0,6473.683,3332.409,9371.037,1,0
"NSW159",1,27,10,"black",0,1,1001.146,3550.075,0,1,0
"NSW160",1,21,8,"black",0,1,989.2678,3695.897,4279.613,1,0
"NSW161",1,22,9,"black",0,1,2192.877,3836.986,3462.564,1,0
"NSW162",1,31,4,"black",0,1,8517.589,4023.211,7382.549,1,0
"NSW163",1,24,10,"black",1,1,11703.2,4078.152,0,1,0
"NSW164",1,29,10,"black",0,1,0,4398.95,0,1,0
"NSW165",1,29,12,"black",0,0,9748.387,4878.937,10976.51,1,0
"NSW166",1,19,10,"white",0,1,0,5324.109,13829.62,0,0
"NSW167",1,19,11,"hispan",1,1,5424.485,5463.803,6788.463,0,1
"NSW168",1,31,9,"black",0,1,10717.03,5517.841,9558.501,1,0
"NSW169",1,22,10,"black",1,1,1468.348,5588.664,13228.28,1,0
"NSW170",1,21,9,"black",0,1,6416.47,5749.331,743.6666,1,0
"NSW171",1,17,10,"black",0,1,1291.468,5793.852,5522.788,1,0
"NSW172",1,26,12,"black",1,0,8408.762,5794.831,1424.944,1,0
"NSW173",1,20,9,"hispan",0,1,12260.78,5875.049,1358.643,0,1
"NSW174",1,19,10,"black",0,1,4121.949,6056.754,0,1,0
"NSW175",1,26,10,"black",0,1,25929.68,6788.958,672.8773,1,0
"NSW176",1,28,11,"black",0,1,1929.029,6871.856,0,1,0
"NSW177",1,22,12,"hispan",1,0,492.2305,7055.702,10092.83,0,1
"NSW178",1,33,11,"black",0,1,0,7867.916,6281.433,1,0
"NSW179",1,22,12,"white",0,0,6759.994,8455.504,12590.71,0,0
"NSW180",1,29,10,"hispan",0,1,0,8853.674,5112.014,0,1
"NSW181",1,33,12,"black",1,0,20279.95,10941.35,15952.6,1,0
"NSW182",1,25,14,"black",1,0,35040.07,11536.57,36646.95,1,0
"NSW183",1,35,9,"black",1,1,13602.43,13830.64,12803.97,1,0
"NSW184",1,35,8,"black",1,1,13732.07,17976.15,3786.628,1,0
"NSW185",1,33,11,"black",1,1,14660.71,25142.24,4181.942,1,0
"PSID1",0,30,12,"white",1,0,20166.73,18347.23,25564.67,0,0
"PSID2",0,26,12,"white",1,0,25862.32,17806.55,25564.67,0,0
"PSID3",0,25,16,"white",1,0,25862.32,15316.21,25564.67,0,0
"PSID4",0,42,11,"white",1,1,21787.05,14265.29,15491.01,0,0
"PSID5",0,25,9,"black",1,1,14829.69,13776.53,0,1,0
"PSID6",0,37,9,"black",1,1,13685.48,12756.05,17833.2,1,0
"PSID7",0,32,12,"white",1,0,19067.58,12625.35,14146.28,0,0
"PSID8",0,20,12,"black",0,0,7392.314,12396.19,17765.23,1,0
"PSID9",0,38,9,"hispan",1,1,16826.18,12029.18,0,0,1
"PSID10",0,39,10,"white",1,1,16767.41,12022.02,4433.18,0,0
"PSID11",0,41,5,"white",1,1,10785.76,11991.58,19451.31,0,0
"PSID12",0,31,14,"white",1,0,17831.29,11563.69,22094.97,0,0
"PSID13",0,34,8,"white",1,1,8038.872,11404.35,5486.799,0,0
"PSID14",0,29,12,"white",1,0,14768.95,11146.55,6420.722,0,0
"PSID15",0,22,14,"black",1,0,748.4399,11105.37,18208.55,1,0
"PSID16",0,42,0,"hispan",1,1,2797.833,10929.92,9922.934,0,1
"PSID17",0,25,9,"hispan",0,1,5460.477,10589.76,7539.361,0,1
"PSID18",0,28,9,"white",1,1,11091.41,10357.02,15406.78,0,0
"PSID19",0,40,13,"white",1,0,3577.621,10301.52,11911.95,0,0
"PSID20",0,35,9,"white",1,1,11475.43,9397.403,11087.38,0,0
"PSID21",0,27,10,"hispan",1,1,15711.36,9098.419,17023.41,0,1
"PSID22",0,27,6,"hispan",1,1,7831.189,9071.565,5661.171,0,1
"PSID23",0,36,12,"white",1,0,25535.12,8695.597,21905.82,0,0
"PSID24",0,47,8,"black",1,1,9275.169,8543.419,0,1,0
"PSID25",0,40,11,"white",1,1,20666.35,8502.242,25564.67,0,0
"PSID26",0,27,7,"white",1,1,3064.293,8461.065,11149.45,0,0
"PSID27",0,36,9,"black",1,1,13256.4,8457.484,0,1,0
"PSID28",0,39,6,"hispan",1,1,13279.91,8441.371,25048.94,0,1
"PSID29",0,21,9,"white",1,1,11156.07,8441.371,1213.214,0,0
"PSID30",0,29,12,"white",1,0,11199.17,8081.516,0,0,0
"PSID31",0,22,13,"hispan",0,0,6404.843,7882.79,9453.017,0,1
"PSID32",0,25,10,"white",1,1,13634.54,7793.274,11688.82,0,0
"PSID33",0,27,12,"white",1,0,12270.89,7709.129,7806.829,0,0
"PSID34",0,45,8,"white",1,1,22415.97,7635.726,15931.37,0,0
"PSID35",0,26,12,"white",1,0,2345.242,7565.903,2838.713,0,0
"PSID36",0,27,12,"white",1,0,9788.497,7496.081,14038.4,0,0
"PSID37",0,33,8,"white",1,1,12312.03,7474.597,25514.43,0,0
"PSID38",0,25,12,"white",1,0,11381.38,7467.435,4162.756,0,0
"PSID39",0,49,8,"white",1,1,6459.703,7431.629,7503.896,0,0
"PSID40",0,40,3,"hispan",1,1,7576.485,7426.258,12104.06,0,1
"PSID41",0,22,12,"black",1,0,9729.719,7372.548,2231.367,1,0
"PSID42",0,25,5,"white",1,1,7891.927,7293.774,14617.67,0,0
"PSID43",0,25,12,"white",1,0,11516.57,7263.339,19588.74,0,0
"PSID44",0,21,12,"white",1,0,13601.23,7202.468,10746.03,0,0
"PSID45",0,33,9,"hispan",1,1,11959.36,7087.887,25564.67,0,1
"PSID46",0,20,12,"black",1,0,9555.344,7055.661,0,1,0
"PSID47",0,19,11,"white",1,1,4306.468,6978.677,837.871,0,0
"PSID48",0,25,12,"black",1,0,295.8493,6942.871,461.0507,1,0
"PSID49",0,29,12,"white",1,0,15303.83,6932.129,24290.87,0,0
"PSID50",0,20,12,"white",1,0,3558.029,6797.855,6680.802,0,0
"PSID51",0,29,6,"hispan",1,1,8542.403,6701.177,7196.528,0,1
"PSID52",0,25,13,"white",1,0,19259.59,6652.839,13015.82,0,0
"PSID53",0,41,15,"white",1,0,25862.32,6563.323,24647,0,0
"PSID54",0,39,10,"white",1,1,22745.13,6493.5,25564.67,0,0
"PSID55",0,33,12,"white",1,0,10819.07,6369.968,2936.243,0,0
"PSID56",0,29,8,"white",1,1,9169.369,6352.065,20575.86,0,0
"PSID57",0,21,11,"white",1,1,10679.96,6276.871,10923.35,0,0
"PSID58",0,31,12,"white",1,0,23652.27,6228.532,22403.81,0,0
"PSID59",0,36,12,"black",1,0,11040.47,6221.371,7215.739,1,0
"PSID60",0,25,7,"white",1,1,5597.625,6099.629,122.6513,0,0
"PSID61",0,35,7,"white",1,1,10715.23,6087.097,15177.73,0,0
"PSID62",0,22,9,"white",1,1,5683.833,6038.758,4742.025,0,0
"PSID63",0,31,2,"hispan",1,1,3262.179,5965.355,9732.307,0,1
"PSID64",0,40,15,"white",1,0,10907.24,5922.387,6238.962,0,0
"PSID65",0,47,3,"white",1,1,9047.894,5911.645,6145.865,0,0
"PSID66",0,26,8,"hispan",0,1,3168.134,5872.258,11136.15,0,1
"PSID67",0,42,7,"white",1,1,10971.89,5806.016,9241.702,0,0
"PSID68",0,53,12,"white",0,0,17104.4,5775.581,19965.56,0,0
"PSID69",0,30,17,"black",0,0,17827.37,5546.419,14421.13,1,0
"PSID70",0,28,10,"white",1,1,10415.46,5544.629,10289.41,0,0
"PSID71",0,46,11,"white",1,1,14753.28,5299.355,0,0,0
"PSID72",0,28,12,"white",0,0,8256.35,5279.661,21602.88,0,0
"PSID73",0,27,12,"hispan",1,0,17604.01,5222.371,25564.67,0,1
"PSID74",0,25,10,"white",1,1,4335.857,5181.194,12418.81,0,0
"PSID75",0,38,8,"white",1,1,11242.27,5174.032,0,0,0
"PSID76",0,26,12,"hispan",0,0,7968.338,5109.581,4181.966,0,1
"PSID77",0,54,12,"white",0,0,7165.039,5012.903,0,0,0
"PSID78",0,38,8,"hispan",1,1,22606.02,4978.887,8720.065,0,1
"PSID79",0,23,17,"white",0,0,0,4876.839,16747.08,0,0
"PSID80",0,23,8,"white",1,1,3595.255,4866.097,2782.559,0,0
"PSID81",0,23,12,"white",1,0,11690.95,4764.048,14065,0,0
"PSID82",0,25,12,"hispan",1,0,8746.167,4762.258,379.7757,0,1
"PSID83",0,25,15,"white",1,0,7386.436,4738.984,12705.49,0,0
"PSID84",0,37,11,"hispan",0,1,615.2098,4713.919,0,0,1
"PSID85",0,40,12,"white",1,0,18389.68,4688.855,21857.05,0,0
"PSID86",0,19,10,"white",0,1,5777.878,4672.742,135.9508,0,0
"PSID87",0,48,7,"white",1,1,13326.93,4636.935,0,0,0
"PSID88",0,19,12,"white",0,0,8530.648,4620.823,0,0,0
"PSID89",0,16,9,"white",0,1,2539.21,4579.645,0,0,0
"PSID90",0,29,10,"white",1,1,713.1731,4542.048,7781.708,0,0
"PSID91",0,30,16,"white",0,0,3093.682,4468.645,15538.29,0,0
"PSID92",0,22,11,"white",1,1,8761.841,4463.274,10642.59,0,0
"PSID93",0,22,10,"white",0,1,17268.98,4400.613,2453.026,0,0
"PSID94",0,47,10,"black",1,1,13311.26,4397.032,19330.14,1,0
"PSID95",0,25,12,"hispan",1,0,2266.872,4361.226,3020.473,0,1
"PSID96",0,47,10,"black",0,1,21918.32,4323.629,19438.02,1,0
"PSID97",0,24,12,"black",1,0,8573.752,4293.194,0,1,0
"PSID98",0,20,12,"black",1,0,2648.929,4273.5,0,1,0
"PSID99",0,28,12,"black",0,0,16722.34,4253.806,7314.747,1,0
"PSID100",0,47,11,"white",0,1,8060.424,4232.323,3358.873,0,0
"PSID101",0,50,0,"white",1,1,10162.72,4218,220.1813,0,0
"PSID102",0,18,12,"white",0,0,2217.89,4191.145,8957.978,0,0
"PSID103",0,21,12,"white",0,0,9665.063,4110.581,1687.564,0,0
"PSID104",0,47,11,"white",1,1,23924.61,4096.258,17358.85,0,0
"PSID105",0,21,12,"white",0,0,2827.222,4056.871,5937.505,0,0
"PSID106",0,34,11,"white",1,1,0,4010.323,18133.18,0,0
"PSID107",0,19,12,"white",1,0,5817.063,3919.016,1066.919,0,0
"PSID108",0,44,13,"white",1,0,8032.994,3881.419,3104.704,0,0
"PSID109",0,21,15,"white",1,0,6951.479,3879.629,0,0,0
"PSID110",0,20,12,"black",0,0,5099.971,3842.032,12718.79,1,0
"PSID111",0,51,11,"white",0,1,48.98167,3813.387,1525.014,0,0
"PSID112",0,28,13,"white",0,0,5260.631,3790.113,9253.524,0,0
"PSID113",0,24,15,"white",0,0,12746.99,3743.565,0,0,0
"PSID114",0,28,8,"hispan",1,1,8305.332,3718.5,0,0,1
"PSID115",0,20,11,"white",1,1,5822.941,3532.306,11075.56,0,0
"PSID116",0,29,12,"white",1,0,14288.93,3503.661,8133.407,0,0
"PSID117",0,23,12,"white",1,0,14347.71,3482.177,3818.445,0,0
"PSID118",0,20,11,"black",0,1,0,3480.387,5495.665,1,0
"PSID119",0,42,7,"white",1,1,4324.102,3457.113,9856.436,0,0
"PSID120",0,43,12,"white",1,0,14328.12,3453.532,18781.9,0,0
"PSID121",0,27,13,"white",0,0,16406.9,3426.677,5344.937,0,0
"PSID122",0,27,4,"hispan",1,1,626.9654,3410.565,3367.739,0,1
"PSID123",0,25,12,"white",1,0,21469.65,3405.194,7981.201,0,0
"PSID124",0,18,12,"white",0,0,4729.67,3328.21,12602.05,0,0
"PSID125",0,31,16,"white",1,0,25862.32,3254.806,25564.67,0,0
"PSID126",0,27,12,"white",1,0,4043.927,3231.532,7240.86,0,0
"PSID127",0,18,11,"white",0,1,0,3226.161,15814.63,0,0
"PSID128",0,24,7,"white",1,1,7860.578,3213.629,0,0,0
"PSID129",0,23,12,"white",1,0,7856.66,3213.629,5535.564,0,0
"PSID130",0,50,12,"white",1,0,19929.66,3190.355,18597.19,0,0
"PSID131",0,19,12,"white",0,0,99.92261,3172.452,15436.33,0,0
"PSID132",0,23,10,"white",1,1,15811.28,3145.597,6398.556,0,0
"PSID133",0,51,12,"white",1,0,21001.38,3140.226,16015.6,0,0
"PSID134",0,19,11,"black",0,1,5607.422,3054.29,94.5745,1,0
"PSID135",0,20,10,"white",1,1,3099.56,2970.145,21141.83,0,0
"PSID136",0,20,11,"hispan",0,1,2868.367,2968.355,7403.41,0,1
"PSID137",0,21,12,"white",0,0,8128.998,2939.71,0,0,0
"PSID138",0,39,10,"white",1,1,0,2886,18761.22,0,0
"PSID139",0,36,5,"white",0,1,3814.692,2873.468,2751.527,0,0
"PSID140",0,19,9,"black",0,1,1079.556,2873.468,14344.29,1,0
"PSID141",0,42,6,"hispan",1,1,2425.572,2832.29,1907.745,0,1
"PSID142",0,20,7,"white",0,1,1902.448,2792.903,6098.578,0,0
"PSID143",0,23,12,"white",1,0,4954.986,2771.419,0,0,0
"PSID144",0,35,12,"white",1,0,1469.45,2719.5,0,0,0
"PSID145",0,18,12,"white",0,0,881.6701,2696.226,12120.31,0,0
"PSID146",0,43,8,"white",1,1,18338.74,2674.742,6395.601,0,0
"PSID147",0,37,14,"white",1,0,18501.36,2638.935,13429.58,0,0
"PSID148",0,24,10,"white",1,1,4719.874,2565.532,2173.736,0,0
"PSID149",0,51,12,"white",0,0,20742.76,2538.677,1019.631,0,0
"PSID150",0,22,11,"hispan",0,1,7341.373,2535.097,14187.65,0,1
"PSID151",0,19,12,"white",0,0,336.9939,2518.984,7118.209,0,0
"PSID152",0,52,0,"hispan",1,1,773.9104,2506.452,0,0,1
"PSID153",0,21,12,"white",0,0,2903.633,2456.323,4787.834,0,0
"PSID154",0,24,12,"white",0,0,9784.578,2413.355,0,0,0
"PSID155",0,35,8,"white",1,1,2241.401,2399.032,9460.406,0,0
"PSID156",0,20,13,"white",0,0,0,2352.484,0,0,0
"PSID157",0,17,7,"black",0,1,1054.086,2286.242,1613.677,1,0
"PSID158",0,18,10,"black",0,1,311.5234,2284.452,8154.095,1,0
"PSID159",0,28,12,"black",0,0,6285.328,2255.806,7310.313,1,0
"PSID160",0,25,14,"hispan",1,0,1622.273,2239.694,1892.968,0,1
"PSID161",0,40,12,"hispan",0,0,13616.9,2228.952,876.2919,0,1
"PSID162",0,50,3,"white",1,1,3136.786,2203.887,13976.34,0,0
"PSID163",0,48,8,"white",1,1,16050.31,2116.161,11600.15,0,0
"PSID164",0,17,7,"hispan",0,1,0,2082.145,6460.621,0,1
"PSID165",0,30,12,"white",1,0,7347.251,2080.355,14475.81,0,0
"PSID166",0,30,7,"white",1,1,574.0652,2010.532,366.4762,0,0
"PSID167",0,22,11,"white",1,1,3030.986,1976.516,0,0,0
"PSID168",0,27,12,"white",1,0,11493.06,1906.694,13419.24,0,0
"PSID169",0,25,9,"white",1,1,23377.97,1901.323,1898.879,0,0
"PSID170",0,21,14,"white",0,0,80.32994,1890.581,6389.69,0,0
"PSID171",0,17,10,"white",0,1,0,1888.79,19993.64,0,0
"PSID172",0,39,7,"white",0,1,7786.126,1844.032,9206.237,0,0
"PSID173",0,18,9,"black",0,1,1183.397,1822.548,803.8833,1,0
"PSID174",0,25,12,"white",1,0,2721.422,1754.516,1037.364,0,0
"PSID175",0,20,8,"white",1,1,2360.916,1741.984,0,0,0
"PSID176",0,19,13,"white",0,0,2366.794,1709.758,0,0,0
"PSID177",0,19,11,"white",0,1,0,1693.645,9853.481,0,0
"PSID178",0,22,12,"white",0,0,10137.25,1679.323,25564.67,0,0
"PSID179",0,18,11,"black",0,1,2068.986,1623.823,20243.38,1,0
"PSID180",0,21,10,"white",0,1,1767.259,1555.79,7675.312,0,0
"PSID181",0,24,12,"white",1,0,7643.1,1546.839,3262.82,0,0
"PSID182",0,18,11,"white",0,1,1273.523,1532.516,12489.75,0,0
"PSID183",0,17,10,"white",0,1,568.1874,1525.355,6231.573,0,0
"PSID184",0,17,10,"white",0,1,0,1503.871,7843.773,0,0
"PSID185",0,18,10,"white",0,1,0,1491.339,237.914,0,0
"PSID186",0,53,10,"hispan",0,1,7878.212,1489.548,13170.98,0,1
"PSID187",0,18,11,"black",0,1,1191.234,1478.806,3683.972,1,0
"PSID188",0,17,10,"hispan",0,1,0,1453.742,6918.716,0,1
"PSID189",0,26,12,"black",0,0,0,1448.371,0,1,0
"PSID190",0,39,5,"white",1,1,13082.02,1434.048,18323.81,0,0
"PSID191",0,18,12,"black",0,0,1579.169,1408.984,3057.416,1,0
"PSID192",0,23,13,"white",0,0,601.4949,1394.661,4975.505,0,0
"PSID193",0,18,8,"white",0,1,5023.56,1391.081,6756.166,0,0
"PSID194",0,28,10,"white",1,1,7578.444,1383.919,2404.261,0,0
"PSID195",0,32,4,"white",1,1,0,1378.548,0,0,0
"PSID196",0,18,11,"black",0,1,0,1367.806,33.98771,1,0
"PSID197",0,40,10,"white",1,1,1543.902,1342.742,0,0,0
"PSID198",0,21,14,"white",0,0,8456.196,1330.21,16967.26,0,0
"PSID199",0,29,10,"hispan",0,1,3732.403,1323.048,6694.101,0,1
"PSID200",0,31,6,"white",0,1,2666.562,1321.258,0,0,0
"PSID201",0,46,7,"white",1,1,19171.43,1317.677,0,0,0
"PSID202",0,20,9,"hispan",1,1,0,1283.661,0,0,1
"PSID203",0,36,18,"white",1,0,3273.935,1269.339,18227.76,0,0
"PSID204",0,45,12,"white",1,0,16559.72,1265.758,7987.112,0,0
"PSID205",0,16,10,"white",0,1,1026.656,1224.581,6847.785,0,0
"PSID206",0,18,12,"white",0,0,818.9735,1208.468,2232.845,0,0
